row_names	Blank	Negctrl	OMblank	OMnegf	OMnegm	R21f	R21m	R24f	R24m	R34f	R34m	S04A	S05E	S06A	S09E	S10A	S11E	S12f	S12m	S13f	S13m	S14A	S15E	S17E	S18A	S19E	S20A	S21E	S23f	S23m	S26A	S27E	S30A	S31E	S31f	S31m	S34A	S35E	S36A	S37E	W09A	W10E	W15A	W16E	W17A	W18E	W19A	W20E	W28E	W29A	W30E	W31A	W32E	Taxon	Consensus
ASV28	79	95	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16082	19971	9288	5629	0	0	384	6393	3348	3854	0	0	0	0	0	0	0	0	0	0	0	0	56	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium	1
ASV29	0	0	0	0	0	0	0	61	0	0	0	40	80	544	643	0	0	0	0	0	0	189	190	233	0	1382	171	111	0	0	1152	9089	0	0	0	0	14063	9651	15884	11381	0	0	0	0	0	0	21	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium	1
ASV30	0	0	0	0	0	89	0	0	0	432	0	0	0	0	0	0	0	758	0	794	0	0	0	0	0	0	0	0	0	0	0	0	305	209	0	0	10322	15655	11681	18058	0	0	0	0	555	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium	1
ASV31	11425	2534	0	0	0	8296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4232	4823	5579	3644	0	0	0	0	0	0	0	0	9861	Bacteria;Proteobacteria;Gammaproteobacteria;Ignatzschineria_o;Ignatzschineria_f	0.7
ASV32	0	0	0	0	0	0	2355	0	1256	0	2768	0	0	0	0	0	0	0	10289	0	16933	0	0	0	0	0	0	0	0	6156	0	0	0	0	0	10593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	1
ASV33	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	38	368	0	90	0	4705	3114	8031	7364	7519	7395	7393	0	0	345	2678	396	645	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	1
ASV34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19635	11060	10955	7974	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	1
ASV35	10315	8380	0	0	0	13841	0	0	0	815	0	0	0	0	0	0	0	2080	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	2328	1777	1387	0	0	0	0	354	0	0	0	0	0	0	0	5006	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Corynebacteriaceae;Corynebacterium	1
ASV36	328	76	0	0	0	481	0	0	0	0	0	0	0	0	0	94	160	56	84	0	0	3097	972	1186	81	72	541	19	0	0	2668	5926	24543	5220	0	0	0	0	0	0	12	14	592	138	0	0	0	0	0	0	40	0	813	Bacteria;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae	1
ASV37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	340	0	0	0	0	24380	6802	6845	0	72	566	74	0	0	180	58	4327	1237	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Eubacterium_g23	1
ASV38	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	506	0	622	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	8518	19068	6545	7074	0	0	0	91	411	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	1
ASV39	0	0	0	0	0	0	0	67	0	22	0	254	948	0	0	0	58	214	0	87	0	6067	3306	12032	3597	3177	3306	5256	0	0	168	591	518	801	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.9
ASV40	0	0	0	0	0	0	0	635	0	2306	0	0	0	0	0	0	0	16974	0	10329	0	0	0	0	0	0	0	0	0	0	72	167	0	0	0	0	0	0	0	0	0	0	0	0	5911	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales	0.6
ASV41	0	0	0	0	0	0	0	440	0	9643	0	0	0	0	0	0	0	1910	0	9638	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	705	526	289	283	0	0	0	0	11701	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	0.6
ASV42	16249	3377	0	44	0	5869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9144	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	0.8
ASV43	0	0	0	0	0	0	0	0	0	0	0	19514	11423	1626	352	106	172	0	0	0	0	0	0	0	0	0	76	16	0	0	240	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia	1
ASV44	0	0	0	0	0	0	0	0	0	0	0	0	0	690	254	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	16646	0	0	0	0	0	0	0	0	0	0	0	0	1515	5801	6118	887	1304	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1
ASV45	11959	4856	0	0	0	9682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	165	0	0	0	0	0	0	0	0	0	0	0	0	4858	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Brevibacteriaceae;Brevibacterium	1
ASV46	0	0	0	0	0	0	0	0	0	0	0	8843	17879	39	0	88	158	0	0	0	0	909	394	657	233	163	605	140	0	0	106	125	108	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	1
ASV47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1448	0	0	0	0	0	2995	0	0	0	0	0	0	0	0	0	0	0	0	4401	6850	4987	2596	5509	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae	1
ASV48	414	0	293	0	0	131	434	2223	707	397	247	0	0	0	0	0	0	0	249	107	803	137	0	41	1272	129	388	722	0	487	0	0	0	0	0	346	7419	2992	5902	1906	0	0	0	0	411	0	0	0	0	0	0	0	306	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Ralstonia_f;Ralstonia	1
ASV49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7471	5899	8885	5981	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	1
ASV50	150	0	0	0	0	31	0	74	0	16941	0	0	0	0	0	0	0	2358	0	5748	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2767	0	0	0	0	0	0	0	127	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	1
ASV51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8357	3199	9833	5222	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	1
ASV52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	676	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	4406	17783	1448	1849	0	0	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	1
ASV53	4689	1523	0	0	0	4239	0	0	0	512	0	0	0	0	0	0	0	1386	0	1279	0	0	0	0	31	0	0	0	0	0	150	145	115	0	0	0	2102	1824	2765	1708	0	0	0	0	797	0	0	0	0	0	0	0	3091	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Dermabacteraceae;Brachybacterium	1
ASV54	512	73	0	0	0	151	0	132	0	2361	0	0	0	0	0	0	0	1754	0	2218	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	4502	4807	4584	3085	0	0	0	0	982	0	0	0	0	0	0	0	173	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	1
ASV55	998	684	0	0	0	1056	0	0	0	1063	0	0	0	0	0	0	0	731	0	1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4172	5719	3783	3954	0	0	0	0	734	0	0	0	0	0	0	0	785	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Dietziaceae;Dietzia	1
ASV56	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	228	239	29	0	6	0	11047	1889	4317	1069	345	885	655	0	0	705	941	472	382	0	0	0	0	53	496	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae	0.6
ASV57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	38	0	0	0	0	704	0	0	0	0	0	0	0	0	0	0	0	0	1720	3509	4015	10015	3558	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1
ASV58	84	0	0	0	0	62	0	0	0	0	0	6001	14702	0	0	238	470	0	0	0	0	72	68	48	54	0	218	0	0	0	590	426	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0.6
ASV59	10315	2295	0	0	0	5174	0	0	0	88	0	0	0	0	0	0	0	164	0	127	0	0	0	0	0	0	0	31	0	0	0	0	91	0	0	0	181	0	23	132	0	0	0	0	87	0	0	0	0	0	0	0	4481	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Microbacteriaceae;Leucobacter	1
ASV60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3278	6776	5189	6989	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales	0.8
ASV61	0	0	0	0	0	0	1654	0	1295	0	527	0	0	0	0	0	0	0	1504	0	11557	0	0	0	0	0	0	0	0	3027	0	0	0	0	0	2661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1
ASV62	110	68	0	0	0	92	0	0	0	0	0	0	0	0	0	31	79	0	0	0	0	1165	552	670	203	60	586	40	0	0	4134	5024	3730	1125	0	0	0	0	0	0	0	0	3342	914	0	0	0	0	0	0	0	0	65	Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Helcococcus	0.7
ASV63	0	0	0	0	0	0	0	0	0	0	6823	0	0	0	0	0	0	0	376	0	9454	0	0	0	0	0	0	0	0	2975	0	0	0	0	0	1675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae	1
ASV64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1745	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	111	0	18410	861	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g	1
ASV65	0	0	0	0	0	0	3256	0	2447	0	630	0	0	0	0	0	0	0	613	0	6296	0	0	0	0	0	0	0	0	3436	0	0	0	0	0	3803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1
ASV66	4096	3196	0	0	0	7028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718	1112	69	570	0	0	0	0	0	0	0	0	0	0	0	0	2843	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	1
ASV67	0	0	0	0	0	0	0	11971	0	3207	0	0	0	0	0	0	0	514	0	1319	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2418	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	1
ASV68	2680	837	0	0	0	1753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13135	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cedecea	0.6
ASV69	2533	1795	0	0	0	3095	120	111	0	218	0	0	0	0	0	0	0	1477	64	934	131	0	0	0	0	0	0	0	0	23	372	818	497	927	0	0	321	1163	361	1414	0	0	0	0	620	0	0	0	0	0	0	0	1171	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	1
ASV70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2900	0	0	0	0	0	5642	0	0	0	0	0	0	0	0	0	0	0	0	2354	1848	1410	776	2961	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	0.9
ASV71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3729	4558	5191	4380	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria_c;Actinomycetales;Actinomycetaceae;Actinomyces	1
ASV72	0	0	0	0	0	18	0	0	0	7529	0	0	0	0	0	0	0	1525	0	4019	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4749	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	1
ASV73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	172	0	0	0	0	0	0	0	0	0	0	175	581	230	77	0	0	2914	5671	4244	3376	0	0	0	0	109	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Dietziaceae;Dietzia	0.6
ASV74	3498	1856	0	0	0	1641	0	0	0	36	0	0	0	0	0	0	0	23	0	73	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	10256	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1
ASV75	0	0	0	0	0	0	0	115	0	1860	0	0	0	0	0	0	0	4453	0	5180	0	0	0	0	0	0	0	0	0	0	197	948	32	0	0	0	781	821	435	249	0	0	0	0	1761	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum	1
